14,1968,1982,40.00%,750 ml,NA,NA,303 €,North Port Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt"
20,1979,1999,61.20%,700 ml,NA,NA,339 €,North Port Rare Malts,"Original Bottling, Highlands Single Malt"
19,NA,NA,59.80%,700 ml,NA,NA,412 €,Oban Manager´s Dram,"Original Bottling, Highlands Single Malt"
21,NA,2013,58.50%,700 ml,NA,2860,400 €,Oban,"Original Bottling, Highlands Single Malt"
12,NA,NA,43.00%,760 ml,NA,NA,168 €,Karuizawa Sanraku Ocean,"Original Bottling, Japan Single Malt"
5,NA,NA,59.00%,700 ml,NA,18000,189 €,Octomore 3.1,"Original Bottling, Islay Single Malt"
5,NA,NA,62.50%,700 ml,NA,15000,186 €,Octomore 4.1,"Original Bottling, Islay Single Malt"
5,NA,NA,57.00%,700 ml,NA,NA,120 €,Octomore 6.1 (Scottish Barley),"Original Bottling, Islay Single Malt"
NA,NA,NA,59.70%,500 ml,NA,3000,374 €,Octomore Black Arts Concept 0.1,"Original Bottling, Islay Single Malt"
6,2004,2010,60.50%,700 ml,NA,NA,196 €,Octomore Futures 2004 (The Beast),"Original Bottling, Islay Single Malt"
8,NA,NA,58.40%,700 ml,NA,30000,158 €,Octomore 8.2 (Masterclass),"Original Bottling, Islay Single Malt"
5,NA,NA,61.00%,700 ml,NA,15000,369 €,Octomore 2.2 (Orpheus),"Original Bottling, Islay Single Malt"
19,1970,1989,46.00%,700 ml,236-239,1300,256 €,Aberlour,"Signatory Vintage, Speyside Single Malt"
19,1974,1993,46.00%,700 ml,11027,NA,163 €,Aberlour First Cask,"Direct Wines, Speyside Single Malt"
21,1974,1995,55.50%,700 ml,11028,158,300 €,Aberlour,"Signatory Vintage, Speyside Single Malt"
23,1989,2012,54.90%,700 ml,NA,522,116 €,Aberlour,"Cadenhead, Speyside Single Malt"
25,1990,2015,51.40%,700 ml,NA,540,123 €,Aberlour Small Batch,"Cadenhead, Speyside Single Malt"
25,1990,2015,51.40%,700 ml,NA,540,123 €,Aberlour Small Batch,"Cadenhead, Speyside Single Malt"
NA,NA,2003,59.80%,700 ml,10,NA,175 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
NA,NA,2014,60.70%,700 ml,47,NA,76 €,Aberlour A Bunadh,"Original Bottling, Speyside Single Malt"
10,NA,NA,46.00%,700 ml,NA,NA,44 €,Ardbeg Ten,"Original Bottling, Islay Single Malt"
10,NA,NA,46.00%,700 ml,NA,NA,76 €,Ardbeg Ten,"Original Bottling, Islay Single Malt"
13,1972,1985,43.00%,750 ml,NA,NA,917 €,Ardbeg,"Sestante, Islay Single Malt"
13,1990,2003,55.00%,700 ml,NA,1140,530 €,Ardbeg Cask Strength (Limited Edition),"Original Bottling, Islay Single Malt"
8,1991,1999,43.00%,760 ml,622,742,98 €,Ardbeg,"Signatory Vintage, Islay Single Malt"
18,1991,2009,50.00%,700 ml,NA,380,476 €,Ardbeg,"Silver Seal, Islay Single Malt"
23,1993,2016,47.70%,700 ml,NA,210,263 €,Ardbeg,"Cadenhead, Islay Single Malt"
20,1993,2013,57.20%,700 ml,1751,249,224 €,Ardbeg,"Dewar Rattray, Islay Single Malt"
9,1996,2005,46.00%,700 ml,908,NA,109 €,Ardbeg Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt"
13,1998,2011,55.10%,700 ml,NA,NA,563 €,Ardbeg (Feis Ile 2011),"Original Bottling, Islay Single Malt"
25,2001,NA,57.40%,700 ml,NA,307,279 €,Ardbeg,"Silver Seal, Islay Single Malt"
21,NA,NA,46.00%,700 ml,NA,NA,397 €,Ardbeg (Committee Release 2016),"Original Bottling, Islay Single Malt"
NA,NA,NA,51.20%,700 ml,NA,NA,266 €,Ardbeg Alligator (Committee Reserve),"Original Bottling, Islay Single Malt"
NA,NA,NA,51.60%,500 ml,NA,NA,335 €,Ardbeg Ar9 Elements of Islay (Feis Ile 2017),"Speciality Drinks, Islay Single Malt"
