name,age,vintage,vol,ml,price
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2016One of 6350 Bottles",4,2012,54.50%,700,237 €June 2019
"Chichibu, Original BottlingRed Oak Hogshead (Ichiro´s Malt)(Cask 358)",,2000,56.50%,700,608 €January 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2011(Cask 123)",3,2008,61.80%,700,729 €March 2018
"Chichibu, Original Bottling (Ichiro´s Malt)One of 274 Bottles (Cask 1691)",,2012,60.60%,700,769 €February 2019
"Chichibu, Original BottlingSingle Beer Barrel (Ichiro´s Malt) b.2015(Cask 3303)",4,2011,59.50%,700,1217 €March 2019
"Chichibu, Original BottlingIPA Barrel Finish (Ichiro´s Malt) b.2017One of 6700 Bottles (Cask 3867)",,,57.50%,700,267 €June 2019
"Chichibu, Original BottlingSingle Oloroso Cask (Ichiro´s Malt) b.2014One of 338 Bottles (Cask 2622)",4,2010,59.00%,700,736 €August 2018
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2012One of 5000 Bottles",3,2009,50.50%,700,329 €May 2019
"Chichibu, Original BottlingPort Pipe Single Cask (Ichiro´s Malt) b.2013One of 669 Bottles (Cask 1921)",4,2009,58.20%,700,948 €May 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2017One of 218 Bottles (Cask 1293)",6,2011,59.20%,700,449 €March 2018
"Chichibu, Original BottlingHannya Mask Edition 1 (Ichiro´s Malt) b.2016(Cask 663)",6,2010,61.50%,700,1089 €March 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2016(Cask 707)",6,2010,63.10%,700,369 €February 2018
"Chichibu, Original BottlingBourbon Cask (Ichiro´s Malt) b.2018(Cask 1766)",6,2012,58.00%,700,1147 €April 2019
"Chichibu, Original BottlingNewborn (Ichiro´s Malt) b.2009One of 361 Bottles (Cask 452)",1,2008,61.40%,700,449 €March 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2017One of 286 Bottles (Cask 2649)",7,2010,59.60%,700,1271 €June 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2019One of 173 Bottles (Cask 1535)",8,2011,62.30%,700,2901 €June 2019
"Chichibu, Original Bottling (Ichiro´s Malt) b.2015One of 538 Bottles (Cask 1490)",4,2011,61.10%,700,592 €February 2019
"Chichibu, Original BottlingHeavily Peated (Ichiro´s Malt) b.2016One of 182 Bottles (Cask 2090)",4,2012,62.00%,700,644 €May 2017
"Chichibu, Original BottlingDream Cask (Ichiro´s Malt) b.2016One of 196 Bottles (Cask 540)",7,2009,62.20%,700,652 €May 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2017One of 245 Bottles (Cask 1476)",6,2011,62.10%,700,1495 €June 2019
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2013One of 5000 Bottles",3,2010,53.50%,700,226 €May 2016
"Chichibu, Original BottlingWhisky Council (Ichiro´s Malt) b.2014One of 215 Bottles",6,2008,61.30%,700,642 €December 2018
"Chichibu, Original BottlingBourbon Barrel (Ichiro´s Malt)One of 262 Bottles (Cask 126)",,2008,62.50%,700,858 €May 2019
"Chichibu, Original BottlingPort Pipe (Ichiro´s Malt) b.2013One of 4200 Bottles",4,2009,54.50%,700,459 €February 2019
"Chichibu, Original BottlingOn The Way (Ichiro´s Malt) b.2015One of 10700 Bottles",,,55.50%,700,312 €June 2019
"Chichibu, Original BottlingBar Show 2016 (Ichiro´s Malt)One of 233 Bottles",,2011,59.00%,700,1487 €March 2019
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2013One of 6700 Bottles",3,2010,53.50%,700,286 €January 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2014One of 239 Bottles (Cask 659)",4,2010,62.40%,700,593 €December 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt)(Cask 1070)",,2010,60.00%,700,401 €June 2018
"Chichibu, Original Bottling10th Anniversary (Ichiro´s Malt) b.2017(Cask 1435)",6,2011,59.90%,700,819 €February 2019
"Chichibu, Original BottlingPX Finish (Ichiro´s Malt) b.2016One of 316 Bottles (Cask 2629)",6,2010,59.40%,700,551 €May 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2018One of 284 Bottles (Cask 2634)",8,2010,59.70%,700,1080 €June 2019
"Chichibu, Original BottlingRed Wine Cask (Ichiro´s Malt) b.2018(Cask 2275)",6,2012,59.00%,700,1264 €May 2019
"Chichibu, Original BottlingPort Pipe (Ichiro´s Malt)(Cask 1380)",,2008,60.00%,700,916 €May 2019
"Chichibu, Original BottlingSingle Cask Single Cask (Ichiro´s Malt) b.2015One of 290 Bottles (Cask 1404)",4,2011,61.80%,700,363 €May 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2014(Cask 609)",5,2009,61.60%,700,1315 €March 2019
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2018One of 11550 Bottles",,,49.00%,700,218 €March 2019
"Chichibu, Original BottlingDouble Distillers (Ichiro´s Malt)",,,46.00%,700,101 €May 2019
"Chichibu, Original BottlingVelier 70th Anniversary (Ichiro´s Malt) b.2017(Cask 2588)",4,2013,61.90%,700,1049 €June 2019
"Chichibu, Original Bottling (Ichiro´s Malt) b.2013",4,2009,61.80%,700,506 €October 2016
"Chichibu, Original BottlingThe US Edition (Ichiro´s Malt) b.2018One of 1235 Bottles (Cask 1882 )",,,56.40%,750,1031 €June 2019
"Chichibu, Original BottlingChibidaru (Ichiro´s Malt) b.2018",5,2013,63.00%,700,630 €February 2019
"Chichibu, Original BottlingDream Cask (Ichiro´s Malt) b.2015One of 204 Bottles (Cask 545)",6,2009,61.40%,700,585 €January 2018
"Chichibu, Original BottlingBourbon Barrel (Ichiro´s Malt)(Cask 755)",,2010,62.10%,700,539 €May 2018
"Chichibu, Original BottlingNewborn Double Matured (Ichiro´s Malt) b.2009One of 352 Bottles (Cask 447)",1,2008,61.30%,700,449 €March 2018
"Chichibu, Original BottlingHeavily Peated (Ichiro´s Malt) b.2017One of 217 Bottles (Cask 2662)",4,2013,62.90%,700,498 €January 2018
"Chichibu, Original BottlingMizunara Wood Reserve (Ichiro´s Malt)",,,46.00%,200,45 €April 2019
"Chichibu, Original BottlingThe First (Ichiro´s Malt) b.2011One of 7400 Bottles",3,2008,61.80%,700,506 €May 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2015One of 299 Bottles (Cask 2360)",6,2009,62.30%,700,1487 €March 2019
"Chichibu, Original Bottling (Ichiro´s Malt) b.2014One of 227 Bottles (Cask 657)",4,2010,62.10%,700,897 €March 2019
"Chichibu, Original BottlingIPA Barrel Finish (Ichiro´s Malt)One of 262 Bottles (Cask 3867)",,2010,59.40%,700,744 €December 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2015One of 293 Bottles (Cask 2650)",5,2010,59.30%,700,423 €January 2018
"Chichibu, Original BottlingBourbon Barrel (Ichiro´s Malt)(Cask 644)",,2010,59.70%,700,1197 €February 2019
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt)One of 230 Bottles (Cask 5047)",,2012,61.60%,700,476 €May 2018
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt) b.2015One of 303 Bottles (Cask 2642)",5,2010,59.50%,700,614 €August 2018
"Chichibu, Original BottlingThe Peated (Ichiro´s Malt) b.2016",4,2012,54.50%,700,265 €June 2019
"Chichibu, Original BottlingFukuoka (Ichiro´s Malt)One of 242 Bottles",,2011,59.50%,700,928 €December 2018
"Chichibu, Original BottlingSingle Cask  (Ichiro´s Malt)(Cask 2651)",,,59.00%,700,882 €February 2019
"Chichibu, Original BottlingThe Floor Malted (Ichiro´s Malt) b.2012One of 8800 Bottles",3,2009,50.50%,700,341 €May 2019
"Chichibu, Original BottlingWhisky Talk 2015 (Ichiro´s Malt)One of 593 Bottles",,2010,60.80%,700,874 €November 2018
"Chichibu, Original BottlingLimited Edition (Ichiro´s Malt & Grain)",,,46.00%,700,255 €April 2019
"Chichibu, Original Bottling (Ichiro´s Malt & Grain)",,,46.00%,700,70 €April 2019
