Index,age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
369,15,1977,1992,50.40%,700,278.61,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
370,15,1977,1992,50.40%,700,315.24,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
371,15,1980,1995,50.40%,700,210.9,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
372,21,1980,2001,47.80%,700,372.96,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
373,,1991,,40.00%,700,167.61,Balvenie Port Wood,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Port
798,15,1977,1992,50.40%,700,375.18,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
799,19,1981,2000,50.40%,700,408.48,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
800,15,1996,2011,59.40%,700,614.94,Balvenie Craftman´s Reserve (The Cooper),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Craftman´s
1418,15,1977,1992,50.40%,700,271.95,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1419,15,1977,1992,50.40%,700,355.2,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1420,,1977,,50.40%,700,347.43,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1421,15,1978,1993,50.40%,700,230.88,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1422,15,1982,1997,50.40%,700,204.24,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1423,15,1983,1998,50.40%,700,149.85,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1424,25,1990,2015,47.80%,700,369.63,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1425,19,1997,2016,61.80%,700,1343.1,Balvenie DCS Compendium (Chapter 2),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
1891,16,1973,1989,46.00%,50,15.54,Balvenie,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Balvenie,Balvenie
1892,30,1973,2003,49.70%,700,1575.09,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Vintage
1893,15,1974,1989,43.00%,50,62.16,Balvenie,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Balvenie,Balvenie
1894,28,1974,2002,46.90%,200,194.25,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
1895,8,1989,1997,40.00%,700,306.36,Balvenie Port Wood,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Port
1896,23,1993,2016,51.90%,700,1491.84,Balvenie DCS Compendium (Chapter 3),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
2484,17,1977,1994,50.40%,700,428.46,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
2485,25,1978,2003,46.90%,200,125.43,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
2486,25,1988,2013,47.80%,700,469.53,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
2487,15,1989,2004,47.80%,700,167.61,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
2488,15,1995,2010,47.80%,700,166.5,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
2489,13,2004,2017,58.20%,700,1137.75,Balvenie DCS Compendium (Chapter 3),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
3036,21,1973,1994,52.80%,700,438.45,Balvenie,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Balvenie,Balvenie
3037,15,1977,1992,50.40%,700,388.5,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
3038,15,1983,1998,50.40%,700,169.83,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
3039,15,1989,2004,47.80%,700,152.07,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
3629,15,1974,1989,57.10%,50,24.42,Balvenie,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Balvenie,Balvenie
4010,32,1964,1996,46.40%,700,8388.27,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Vintage
4011,23,1966,1989,52.00%,750,803.64,Balvenie,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Balvenie,Balvenie
4012,25,1978,2003,46.90%,200,194.25,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4013,15,1988,2003,47.80%,700,153.18,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4014,15,1996,2011,47.80%,700,150.96,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4476,15,1982,1997,50.40%,700,129.87,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4537,25,1974,1999,46.90%,700,593.85,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4538,15,1983,1998,50.40%,700,123.21,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4539,15,1985,2000,50.40%,700,130.98,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
4540,9,2005,2014,57.50%,700,757.02,Balvenie DCS Compendium (Chapter 1),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
4847,20,1972,1992,46.00%,700,496.17,Balvenie First Cask,"Direct Wines, Speyside Single Malt",Direct Wines,Speyside,UK,Balvenie,Balvenie First
4848,20,1979,1999,55.70%,700,257.52,Balvenie Authentic Collection,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Balvenie,Balvenie Authentic
5283,32,1966,1998,42.60%,700,2308.8,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Vintage
5284,15,1989,2004,47.80%,700,144.3,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5285,15,1990,2005,47.80%,700,132.09,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5286,15,1993,2008,47.80%,700,97.68,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5287,15,1997,2012,47.80%,700,124.32,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5288,15,2001,2016,62.30%,700,1161.06,Balvenie DCS Compendium (Chapter 2),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
5680,15,1998,2013,50.40%,700,360.75,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5681,15,1989,2004,50.40%,700,215.34,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5682,15,1985,2000,50.40%,700,372.96,Balvenie Single Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
5683,,1993,,40.00%,700,152.07,Balvenie Port Wood,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Port
5684,15,1994,2009,47.80%,700,119.88,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6011,29,1974,2003,48.00%,700,511.71,Balvenie Authentic Collection,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Balvenie,Balvenie Authentic
6012,15,1974,1989,43.00%,750,347.43,Balvenie,"Dun Eideann, Speyside Single Malt",Dun Eideann,Speyside,UK,Balvenie,Balvenie
6013,15,1982,1997,50.40%,700,245.31,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6014,15,1998,2013,50.40%,700,203.13,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6261,15,1980,1995,50.40%,700,214.23,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6262,25,1989,2014,47.80%,700,425.13,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6263,15,1992,2007,47.80%,700,156.51,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6461,45,1951,1996,51.90%,700,16663.32,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Vintage
6462,15,1982,1997,50.40%,700,357.42,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6463,15,1995,2010,47.80%,700,135.42,Balvenie Single Barrel,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Single
6528,17,1997,2014,60.70%,700,1721.61,Balvenie DCS Compendium (Chapter 1),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie DCS
6849,27,1989,2016,46.50%,700,155.4,Balvenie Small Batch,"Cadenhead, Speyside Blend",Cadenhead,Speyside,UK,Balvenie,Balvenie Small
374,24,1974,1998,40.00%,700,258.63,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
375,33,1975,2008,48.30%,700,401.82,Banff The Cross Hill,"Jumping Jack Productions, Speyside Single Malt",Jumping Jack Productions,Speyside,UK,Banff,Banff The
376,18,1978,1996,43.00%,50,42.18,Banff,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff
377,25,1980,2005,53.10%,700,263.07,Banff Rarest of the Rare,"Duncan Taylor, Speyside Single Malt",Duncan Taylor,Speyside,UK,Banff,Banff Rarest
378,21,1982,2003,57.10%,700,366.3,Banff Rare Malts,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Banff,Banff Rare
801,36,1966,2002,54.00%,750,1262.07,Banff Raw Cask (US Import),"Blackadder, Speyside Single Malt",Blackadder,Speyside,UK,Banff,Banff Raw
802,33,1975,2008,49.20%,700,436.23,Banff Exclusive Malts (Single Cask),"Creative Whisky Company, Speyside Single Malt",Creative Whisky Company,Speyside,UK,Banff,Banff Exclusive
803,27,1976,2003,51.43%,750,378.51,Banff (US Import),"Blackadder, Speyside Single Malt",Blackadder,Speyside,UK,Banff,Banff (US
804,24,1977,2001,50.00%,700,450.66,Banff,"Silver Seal, Speyside Single Malt",Silver Seal,Speyside,UK,Banff,Banff
805,20,1980,2000,43.00%,700,225.33,Banff,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff
1426,13,1974,1987,40.00%,750,335.22,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
1427,26,1975,2001,40.00%,700,299.7,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
1428,40,1975,2015,46.80%,350,370.74,Banff,"Malts of Scotland, Speyside Single Malt",Malts of Scotland,Speyside,UK,Banff,Banff
1897,49,1966,2015,45.20%,700,876.9,Banff Rare Old,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Rare
2490,,1974,,40.00%,50,26.64,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
3040,20,1974,1994,40.00%,750,374.07,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
3041,21,1980,2001,43.00%,700,359.64,Banff,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff
3630,26,1978,2004,46.00%,700,347.43,Banff Chieftain´s,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff Chieftain´s
4015,18,1974,1992,40.00%,750,275.28,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
4016,24,1976,2000,55.80%,700,604.95,Banff Cask Strength,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff Cask
4477,29,1974,2003,45.00%,700,481.74,Banff 35th Anniversary,"Samaroli, Speyside Single Malt",Samaroli,Speyside,UK,Banff,Banff 35th
4541,22,1974,1996,40.00%,750,267.51,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
4542,23,1976,1999,54.50%,750,1088.91,Banff Silent Stills (US Import),"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff Silent
4849,36,1966,2002,50.20%,700,561.66,Banff,"Malcolm Pride Ltd., Speyside Single Malt",Malcolm Pride Ltd.,Speyside,UK,Banff,Banff
4850,20,1974,1994,40.00%,750,283.05,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
4851,,1976,,40.00%,700,269.73,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
5289,33,1975,2008,48.10%,700,600.51,Banff,"Celtic Heartlands, Speyside Single Malt",Celtic Heartlands,Speyside,UK,Banff,Banff
5290,34,1976,2010,43.00%,700,354.09,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
5685,23,1974,1997,40.00%,700,225.33,Banff Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Banff,Banff Connoisseurs
5686,24,1976,2000,54.40%,700,604.95,Banff Authentic Collection,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Banff,Banff Authentic
5687,18,1980,1998,43.00%,700,209.79,Banff Chieftain´s,"Ian Macleod, Speyside Single Malt",Ian Macleod,Speyside,UK,Banff,Banff Chieftain´s
5688,23,1980,2003,57.50%,750,365.19,Banff Rarest of the Rare (US Import),"Duncan Taylor, Speyside Single Malt",Duncan Taylor,Speyside,UK,Banff,Banff Rarest
5689,26,1980,2006,56.10%,700,408.48,Banff Rarest of the Rare,"Duncan Taylor, Speyside Single Malt",Duncan Taylor,Speyside,UK,Banff,Banff Rarest
5690,22,1980,2002,43.00%,700,285.27,Banff,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Banff,Banff
6815,24,1976,2000,58.30%,700,424.02,Banff Authentic Collection,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,Banff,Banff Authentic
310,40,1962,2002,40.00%,700,737.04,Ben Nevis,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
379,43,1970,2013,44.70%,700,417.36,Ben Nevis,"Berry Bros & Rudd, Highlands Single Malt",Berry Bros & Rudd,Highlands,UK,Ben,Ben Nevis
380,13,1990,2003,61.60%,700,135.42,Ben Nevis Port Wood Finish,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
381,26,1990,2016,60.50%,700,270.84,Ben Nevis Velier Anniversary 70th Anniversary,"Velier, Highlands Single Malt",Velier,Highlands,UK,Ben,Ben Nevis
382,25,1991,2016,61.30%,700,480.63,Ben Nevis Single Sherry Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
383,20,1997,2017,50.00%,700,138.75,Ben Nevis Old Particular,"Douglas Laing, Highlands Single Malt",Douglas Laing,Highlands,UK,Ben,Ben Nevis
806,26,1974,2000,51.50%,700,906.87,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
807,18,1990,2008,61.20%,700,129.87,Ben Nevis The Cross Hill,"Jumping Jack Productions, Highlands Single Malt",Jumping Jack Productions,Highlands,UK,Ben,Ben Nevis
808,21,1990,2011,46.00%,700,94.35,Ben Nevis Red Berry Cream,"Wemyss Malts, Highlands Single Malt",Wemyss Malts,Highlands,UK,Ben,Ben Nevis
1429,10,1986,1996,46.00%,50,9.99,Ben Nevis,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
1430,43,1970,2013,44.60%,700,398.49,Ben Nevis The Nectar of the Daily Drams,"Daily Dram, Highlands Single Malt",Daily Dram,Highlands,UK,Ben,Ben Nevis
1431,36,1971,2007,42.50%,700,375.18,Ben Nevis The Old Malt Cask,"Douglas Laing, Highlands Single Malt",Douglas Laing,Highlands,UK,Ben,Ben Nevis
1432,18,1990,2008,46.00%,700,112.11,Ben Nevis First Cask,"Direct Wines, Highlands Single Malt",Direct Wines,Highlands,UK,Ben,Ben Nevis
1433,16,1996,2012,55.30%,700,62.16,Ben Nevis The Golden Cask,"The House of MacDuff, Highlands Single Malt",The House of MacDuff,Highlands,UK,Ben,Ben Nevis
1898,14,1965,1979,46.00%,750,622.71,Ben Nevis,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Ben,Ben Nevis
1899,26,1970,1996,52.20%,750,620.49,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
1900,22,1990,2012,60.40%,700,310.8,Ben Nevis,"Silver Seal, Highlands Single Malt",Silver Seal,Highlands,UK,Ben,Ben Nevis
1901,15,1996,2011,46.00%,700,103.23,Ben Nevis Private Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
1902,15,1996,2011,51.70%,700,214.23,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
1903,18,1998,2016,50.20%,700,123.21,Ben Nevis,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Ben,Ben Nevis
2491,10,1996,2006,50.00%,700,96.57,Ben Nevis The Old Malt Cask,"Douglas Laing, Highlands Single Malt",Douglas Laing,Highlands,UK,Ben,Ben Nevis
2492,21,1996,2017,54.80%,700,129.87,Ben Nevis,"Whiskybroker.co.uk, Highlands Single Malt",Whiskybroker.co.uk,Highlands,UK,Ben,Ben Nevis
2493,,1997,,52.80%,700,122.1,Ben Nevis Càrn Mòr,"Scottish Liqueur Centre, Highlands Single Malt",Scottish Liqueur Centre,Highlands,UK,Ben,Ben Nevis
2494,20,1997,2017,51.90%,700,168.72,Ben Nevis,"Creative Whisky Company, Highlands Single Malt",Creative Whisky Company,Highlands,UK,Ben,Ben Nevis
2495,19,1997,2016,57.10%,700,173.16,Ben Nevis 78.41,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Ben,Ben Nevis
3042,13,1977,1990,62.00%,50,21.09,Ben Nevis,"Cadenhead, Highlands Single Malt",Cadenhead,Highlands,UK,Ben,Ben Nevis
3043,19,1996,2015,57.80%,700,133.2,Ben Nevis,"Bad Worishoten, Highlands Single Malt",Bad Worishoten,Highlands,UK,Ben,Ben Nevis
3044,18,1996,2014,47.20%,700,279.72,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
3631,51,1966,2017,41.50%,700,2420.91,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
3632,25,1991,2016,53.60%,700,202.02,Ben Nevis,"Signatory Vintage, Highlands Single Malt",Signatory Vintage,Highlands,UK,Ben,Ben Nevis
3633,16,1998,2014,52.10%,700,87.69,Ben Nevis,"Lady of the Glen, Highlands Single Malt",Lady of the Glen,Highlands,UK,Ben,Ben Nevis
3634,15,1998,2013,56.10%,700,254.19,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
4543,26,1971,1997,52.20%,750,561.66,Ben Nevis (US Import),"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
4544,26,1973,1999,53.80%,700,456.21,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
4545,18,1996,2014,56.70%,700,113.22,Ben Nevis Raw Cask,"Blackadder, Highlands Single Malt",Blackadder,Highlands,UK,Ben,Ben Nevis
4546,19,1996,2015,50.00%,700,136.53,Ben Nevis The Old Malt Cask,"Hunter Laing, Highlands Single Malt",Hunter Laing,Highlands,UK,Ben,Ben Nevis
4547,15,2000,2015,59.70%,700,206.46,Ben Nevis Distillery Exclusive,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
4852,49,1966,2015,29.50%,500,196.47,Ben Nevis Spirit of the Highlands,"Whiskybroker.co.uk, Highlands Single Malt",Whiskybroker.co.uk,Highlands,UK,Ben,Ben Nevis
5291,13,1977,1990,55.00%,750,253.08,Ben Nevis 78.3,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Ben,Ben Nevis
5292,14,1992,2006,46.00%,700,167.61,Ben Nevis Double Matured,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
5293,18,1996,2014,53.70%,700,83.25,Ben Nevis,"Whiskybroker.co.uk, Highlands Single Malt",Whiskybroker.co.uk,Highlands,UK,Ben,Ben Nevis
5691,44,1966,2010,40.00%,700,685.98,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
5692,24,1991,2015,55.70%,700,101.01,Ben Nevis,"Signatory Vintage, Highlands Single Malt",Signatory Vintage,Highlands,UK,Ben,Ben Nevis
6015,11,1990,2001,43.00%,700,85.47,Ben Nevis Sherry Cask,"Signatory Vintage, Highlands Single Malt",Signatory Vintage,Highlands,UK,Ben,Ben Nevis
6016,10,1992,2002,55.20%,700,128.76,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
6017,15,1996,2011,57.50%,700,194.25,Ben Nevis Single Cask (Single Malt),"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
6018,20,1996,2016,54.20%,700,109.89,Ben Nevis,"Whiskybroker.co.uk, Highlands Single Malt",Whiskybroker.co.uk,Highlands,UK,Ben,Ben Nevis
6264,17,1993,2010,46.00%,700,71.04,Ben Nevis First Cask,"Direct Wines, Highlands Single Malt",Direct Wines,Highlands,UK,Ben,Ben Nevis
6265,12,1998,2010,46.00%,700,146.52,Ben Nevis Single Cask,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Ben,Ben Nevis
6464,13,1984,1997,62.60%,700,359.64,Ben Nevis 78.12,"Scotch Malt Whisky Society, Highlands Single Malt",Scotch Malt Whisky Society,Highlands,UK,Ben,Ben Nevis
6465,20,1997,2017,57.10%,700,358.53,Ben Nevis,"Lombard, Highlands Single Malt",Lombard,Highlands,UK,Ben,Ben Nevis
6816,16,1990,2006,46.00%,700,71.04,Ben Nevis The NC2 Range,"Duncan Taylor, Highlands Single Malt",Duncan Taylor,Highlands,UK,Ben,Ben Nevis
6817,24,1991,2015,55.70%,700,135.42,Ben Nevis,"Signatory Vintage, Highlands Single Malt",Signatory Vintage,Highlands,UK,Ben,Ben Nevis
6818,20,1996,2016,51.90%,700,135.42,Ben Nevis Single Cask,"Sansibar, Highlands Single Malt",Sansibar,Highlands,UK,Ben,Ben Nevis
6819,19,1997,2016,54.60%,700,109.89,Ben Nevis,"Whiskybroker.co.uk, Highlands Single Malt",Whiskybroker.co.uk,Highlands,UK,Ben,Ben Nevis
384,,1982,,62.40%,750,188.7,BenRiach Cask Strength,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,BenRiach,BenRiach Cask
385,11,1982,1993,60.00%,50,32.19,BenRiach,"Scotch Malt Whisky Society, Speyside Single Malt",Scotch Malt Whisky Society,Speyside,UK,BenRiach,BenRiach
386,24,1991,2015,50.60%,700,227.55,BenRiach Single Cask (Burgundy Finish),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,BenRiach,BenRiach Single
387,20,1995,2015,53.90%,700,169.83,BenRiach Single Cask (Madeira Finish),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,BenRiach,BenRiach Single
388,18,1996,2014,54.40%,700,150.96,BenRiach Single Cask (Pedro Ximénez Finish),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,BenRiach,BenRiach Single
809,18,1996,2014,46.00%,700,89.91,BenRiach Small Batch,"Cadenhead, Speyside Single Malt",Cadenhead,Speyside,UK,BenRiach,BenRiach Small
810,12,1969,1981,40.00%,750,324.12,BenRiach Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,BenRiach,BenRiach Connoisseurs
811,13,1999,2012,46.00%,700,67.71,BenRiach Virgin Oak,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,BenRiach,BenRiach Virgin
1434,40,1975,2015,53.00%,700,786.99,BenRiach Peat Single Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,BenRiach,BenRiach Peat
1435,15,1999,2014,55.40%,700,132.09,BenRiach Single Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,BenRiach,BenRiach Single
1904,,1969,,40.00%,50,33.3,BenRiach Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,BenRiach,BenRiach Connoisseurs
