age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
32.0,1968.0,2000.0,50.80%,700,2564.100000000001,Balvenie Vintage Cask,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Balvenie,Balvenie Vintage
24.0,1976.0,2000.0,53.20%,700,2533.0200000000004,Ardbeg Single Cask (The Ardbeg Committee),"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Ardbeg,Ardbeg Single
32.0,1968.0,2000.0,45.50%,700,2156.73,Bowmore,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Bowmore,Bowmore
28.0,1947.0,1975.0,42.86%,750,2449.7700000000004,Glenrothes,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenrothes,Glenrothes
37.0,1976.0,2013.0,51.00%,700,2980.3500000000013,Lagavulin 2013 Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Lagavulin,Lagavulin 2013
31.0,1966.0,1997.0,52.00%,700,2022.42,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt",Original Bottling,Campbeltown,UK,Springbank,Springbank Local
32.0,1966.0,1998.0,56.90%,700,2635.140000000001,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt",Original Bottling,Campbeltown,UK,Springbank,Springbank Local
25.0,1983.0,2008.0,58.90%,700,1156.62,Yoichi 116.15,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society,Japan,JP,Yoichi,Yoichi 116.15
21.0,1957.0,1978.0,45.71%,750,3564.2100000000005,Talisker Sherry Wood,"Cadenhead, Islands Single Malt",Cadenhead,Islands,UK,Talisker,Talisker Sherry
42.0,1959.0,2001.0,46.00%,700,1851.48,Glenfarclas Christmas Day,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenfarclas,Glenfarclas Christmas
31.0,1968.0,1999.0,43.00%,700,1744.92,Bowmore Millennium Edition,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Bowmore,Bowmore Millennium
32.0,1968.0,2000.0,46.00%,700,1794.87,Bowmore,"Signatory Vintage, Islay Single Malt",Signatory Vintage,Islay,UK,Bowmore,Bowmore
45.0,1938.0,1983.0,40.00%,750,2318.7900000000004,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Glen,Glen Grant
40.0,1949.0,1989.0,37.90%,750,2317.6800000000007,Macallan,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Macallan,Macallan
17.0,1964.0,1981.0,43.00%,750,2329.890000000001,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
25.0,1968.0,1993.0,43.00%,750,1500.72,Glendronach Sherry Casks,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Glendronach,Glendronach Sherry
30.0,1981.0,2011.0,58.30%,700,1950.27,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Single
18.0,1971.0,1989.0,43.00%,750,1809.3,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
37.0,1940.0,1977.0,40.00%,750,3475.410000000001,Macallan,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan
18.0,1979.0,1997.0,40.00%,700,1958.04,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Gran
35.0,1936.0,1971.0,43.00%,750,3169.05,Mortlach Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Mortlach,Mortlach Connoisseurs
