Day,Precipitation,Min Temperature,Max Temperature,id
7/20/1973,0,11,15,UKM00003017
7/21/1973,0.3,Null,14,UKM00003017
7/22/1973,1,7,14,UKM00003017
7/23/1973,0,5,16,UKM00003017
7/24/1973,0,7,15,UKM00003017
7/25/1973,0,Null,14,UKM00003017
7/26/1973,0,10,13,UKM00003017
7/27/1973,0,9,13,UKM00003017
7/28/1973,0.3,8,17,UKM00003017
7/29/1973,0,12,18,UKM00003017
7/30/1973,0,11,17,UKM00003017
7/31/1973,Null,Null,15,UKM00003017
8/1/1973,Null,11,Null,UKM00003017
8/2/1973,4.1,Null,17,UKM00003017
8/3/1973,Null,11,15,UKM00003017
8/4/1973,20.1,Null,14,UKM00003017
8/5/1973,8.4,8,14,UKM00003017
8/6/1973,10.9,9,13,UKM00003017
8/7/1973,9.9,9,15,UKM00003017
8/8/1973,Null,7,15,UKM00003017
8/9/1973,6.1,7,14,UKM00003017
8/10/1973,2,Null,15,UKM00003017
8/11/1973,0.3,8,17,UKM00003017
8/12/1973,0,Null,18,UKM00003017
8/13/1973,0,10,19,UKM00003017
8/14/1973,Null,11,Null,UKM00003017
8/15/1973,0,10,16,UKM00003017
8/16/1973,0,11,18,UKM00003017
8/17/1973,1,11,15,UKM00003017
8/18/1973,1.3,10,14,UKM00003017
8/19/1973,0,6,12,UKM00003017
8/20/1973,0.3,Null,12,UKM00003017
8/21/1973,0,4,13,UKM00003017
8/22/1973,0,5,15,UKM00003017
8/23/1973,0,7,18,UKM00003017
8/24/1973,1,12,16,UKM00003017
8/25/1973,0,10,14,UKM00003017
8/26/1973,Null,10,Null,UKM00003017
8/27/1973,2,13,15,UKM00003017
8/28/1973,0.5,9,15,UKM00003017
8/29/1973,1,10,16,UKM00003017
8/30/1973,0.5,9,15,UKM00003017
8/31/1973,29,9,14,UKM00003017
9/1/1973,5.1,11,15,UKM00003017
9/2/1973,Null,Null,14,UKM00003017
9/3/1973,1,11,15,UKM00003017
9/4/1973,Null,Null,15,UKM00003017
9/5/1973,6.1,7,15,UKM00003017
9/6/1973,5.1,9,15,UKM00003017
9/7/1973,11.9,11,15,UKM00003017
9/8/1973,1,Null,17,UKM00003017
9/9/1973,2,7,11,UKM00003017
9/10/1973,0,Null,12,UKM00003017
9/11/1973,Null,5,13,UKM00003017
9/12/1973,0.3,10,13,UKM00003017
9/13/1973,0,Null,13,UKM00003017
9/14/1973,0,8,12,UKM00003017
9/15/1973,0,10,14,UKM00003017
9/16/1973,2,11,13,UKM00003017
9/17/1973,0.5,12,Null,UKM00003017
9/18/1973,13,12,14,UKM00003017
9/19/1973,0,10,14,UKM00003017
9/20/1973,16,10,11,UKM00003017
9/21/1973,7.1,Null,10,UKM00003017
9/22/1973,0,6,11,UKM00003017
9/23/1973,2.5,8,12,UKM00003017
9/24/1973,0,7,13,UKM00003017
9/25/1973,0,9,13,UKM00003017
9/26/1973,2,Null,13,UKM00003017
9/27/1973,0,6,13,UKM00003017
9/28/1973,41.9,7,10,UKM00003017
9/29/1973,14,8,11,UKM00003017
9/30/1973,1,Null,9,UKM00003017
10/1/1973,0.5,6,13,UKM00003017
10/2/1973,0.3,12,14,UKM00003017
10/3/1973,0,Null,15,UKM00003017
10/4/1973,0.3,Null,11,UKM00003017
10/5/1973,0,7,12,UKM00003017
10/6/1973,0,9,13,UKM00003017
10/7/1973,0,Null,12,UKM00003017
10/8/1973,5.1,Null,11,UKM00003017
10/9/1973,Null,Null,11,UKM00003017
10/10/1973,1.5,3,8,UKM00003017
10/11/1973,4.1,Null,9,UKM00003017
10/12/1973,0,2,8,UKM00003017
10/13/1973,0,1,10,UKM00003017
10/14/1973,1,1,9,UKM00003017
10/15/1973,3,3,8,UKM00003017
10/16/1973,7.1,2,7,UKM00003017
10/17/1973,Null,0,Null,UKM00003017
10/18/1973,6.1,1,6,UKM00003017
10/19/1973,1,-1,7,UKM00003017
10/20/1973,0,0,7,UKM00003017
10/21/1973,3,2,10,UKM00003017
10/22/1973,6.1,5,11,UKM00003017
10/23/1973,3.3,5,11,UKM00003017
10/24/1973,4.1,7,15,UKM00003017
10/25/1973,5.3,Null,Null,UKM00003017
10/26/1973,0.3,5,12,UKM00003017
10/27/1973,0,7,11,UKM00003017
10/28/1973,Null,Null,10,UKM00003017
10/29/1973,0.3,7,11,UKM00003017
10/30/1973,0,Null,12,UKM00003017
10/31/1973,0,6,11,UKM00003017
11/1/1973,0,Null,Null,UKM00003017
11/2/1973,0,Null,11,UKM00003017
11/3/1973,0.3,6,12,UKM00003017
11/4/1973,19.1,Null,Null,UKM00003017
11/5/1973,15,1,6,UKM00003017
11/6/1973,2,2,Null,UKM00003017
11/7/1973,4.1,4,10,UKM00003017
11/8/1973,2,7,13,UKM00003017
11/9/1973,1.5,Null,9,UKM00003017
11/10/1973,1.5,4,8,UKM00003017
11/11/1973,3,Null,Null,UKM00003017
11/12/1973,21.1,1,Null,UKM00003017
11/13/1973,5.1,Null,6,UKM00003017
11/14/1973,1.5,0,6,UKM00003017
11/15/1973,14,0,5,UKM00003017
11/16/1973,10.9,Null,2,UKM00003017
11/17/1973,1,-1,3,UKM00003017
11/18/1973,23.9,0,9,UKM00003017
11/19/1973,6.1,2,7,UKM00003017
11/20/1973,2,1,7,UKM00003017
11/21/1973,1.5,5,Null,UKM00003017
11/22/1973,10.9,Null,11,UKM00003017
11/23/1973,5.1,3,Null,UKM00003017
11/24/1973,32,Null,Null,UKM00003017
11/25/1973,2.3,-1,3,UKM00003017
11/26/1973,7.1,-2,1,UKM00003017
11/27/1973,5.1,-2,Null,UKM00003017
11/28/1973,2,-1,3,UKM00003017
11/29/1973,0.3,Null,3,UKM00003017
11/30/1973,2,-2,2,UKM00003017
12/1/1973,0,-2,Null,UKM00003017
12/2/1973,0.5,-1,Null,UKM00003017
12/3/1973,15,Null,9,UKM00003017
12/4/1973,2,Null,6,UKM00003017
12/5/1973,6.1,3,11,UKM00003017
12/6/1973,7.9,Null,5,UKM00003017
12/7/1973,1,0,3,UKM00003017
12/8/1973,1,Null,4,UKM00003017
12/9/1973,0.3,1,Null,UKM00003017
12/10/1973,3,Null,9,UKM00003017
12/11/1973,7.1,Null,Null,UKM00003017
12/12/1973,13,1,7,UKM00003017
12/13/1973,5.1,Null,Null,UKM00003017
12/14/1973,7.9,Null,Null,UKM00003017
12/15/1973,5.1,-1,4,UKM00003017
12/16/1973,7.9,1,5,UKM00003017
12/17/1973,1.5,1,Null,UKM00003017
12/18/1973,1.5,Null,1,UKM00003017
12/19/1973,7.1,-3,1,UKM00003017
12/20/1973,13,-1,Null,UKM00003017
12/21/1973,6.1,4,6,UKM00003017
12/22/1973,4.1,4,Null,UKM00003017
12/23/1973,4.6,5,Null,UKM00003017
12/24/1973,17,Null,5,UKM00003017
12/25/1973,6.1,2,Null,UKM00003017
12/26/1973,4.3,5,10,UKM00003017
12/27/1973,2,Null,9,UKM00003017
12/28/1973,0.5,4,6,UKM00003017
12/29/1973,3,Null,10,UKM00003017
12/30/1973,3,2,4,UKM00003017
12/31/1973,4.3,1,4,UKM00003017
1/1/1974,0,2,6,UKM00003017
1/2/1974,0,4,7,UKM00003017
1/3/1974,0,2,5,UKM00003017
1/4/1974,0,4,Null,UKM00003017
1/5/1974,Null,6,Null,UKM00003017
1/6/1974,4.1,Null,7,UKM00003017
1/7/1974,7.1,Null,7,UKM00003017
1/8/1974,4.1,3,7,UKM00003017
1/9/1974,13.2,3,4,UKM00003017
1/10/1974,9.9,2,Null,UKM00003017
1/11/1974,0,5,7,UKM00003017
1/12/1974,7.1,4,8,UKM00003017
1/13/1974,1,Null,7,UKM00003017
1/14/1974,5.1,2,Null,UKM00003017
1/15/1974,3.3,Null,5,UKM00003017
1/16/1974,3,1,4,UKM00003017
1/17/1974,6.1,1,Null,UKM00003017
1/18/1974,5.1,Null,10,UKM00003017
1/19/1974,Null,5,Null,UKM00003017
1/20/1974,0,Null,Null,UKM00003017
1/21/1974,1.5,Null,7,UKM00003017
1/22/1974,0,2,7,UKM00003017
1/23/1974,10.2,Null,7,UKM00003017
1/24/1974,3,4,7,UKM00003017
1/25/1974,0,Null,7,UKM00003017
1/26/1974,1,2,7,UKM00003017
1/27/1974,4.3,Null,Null,UKM00003017
1/28/1974,1,1,7,UKM00003017
1/29/1974,2,Null,Null,UKM00003017
