18,1974,1992,46.00%,700 ml,NA,NA,970 €,Longrow (1970s),"Original Bottling, Campbeltown Single Malt"
10,NA,NA,46.00%,700 ml,NA,NA,151 €,Longrow Sherry Wood,"Original Bottling, Campbeltown Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,106 €,Macallan (Moray Golf Club),"Moray Golf Club, Speyside Single Malt"
10,NA,NA,58.10%,1000 ml,NA,NA,321 €,Macallan Cask Strength,"Original Bottling, Speyside Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,115 €,Macallan The Royal Collection,"Original Bottling, Speyside Single Malt"
11,NA,NA,40.00%,700 ml,NA,NA,150 €,Macallan The Queen Mother,"The Whisky Connoisseur, Speyside Single Malt"
12,NA,NA,43.00%,700 ml,NA,NA,309 €,Macallan (Elchies House Green),"Original Bottling, Speyside Single Malt"
12,NA,NA,43.00%,750 ml,NA,NA,340 €,Macallan (1990s),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,107 €,Macallan Fine Oak (Limited Edition Grey),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,750 ml,NA,NA,565 €,Macallan (1970s),"Gordon & MacPhail, Speyside Single Malt"
12,NA,NA,45.60%,700 ml,NA,NA,74 €,Macallan (Limited Edition),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,NA,80 €,Macallan (Limited Edition),"Original Bottling, Speyside Single Malt"
12,NA,NA,40.00%,700 ml,NA,1000,826 €,Macallan Woodland Estate (Limited Edition),"Original Bottling, Speyside Single Malt"
15,NA,NA,40.00%,750 ml,NA,NA,320 €,Macallan 70 Proof (1970s),"Original Bottling, Speyside Single Malt"
15,NA,NA,43.00%,750 ml,NA,NA,100 €,Macallan Fine Oak (US Import),"Original Bottling, Speyside Single Malt"
18,1963,1981,43.00%,50 ml,NA,NA,108 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1964,1982,43.00%,50 ml,NA,NA,76 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1965,1983,43.00%,50 ml,NA,NA,82 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1966,1984,43.00%,750 ml,NA,NA,2148 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1966,1984,43.00%,50 ml,NA,NA,74 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1967,1985,43.00%,50 ml,NA,NA,79 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1968,1986,43.00%,50 ml,NA,NA,135 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1970,1988,43.00%,50 ml,NA,NA,86 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1972,1990,43.00%,50 ml,NA,NA,147 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1973,1991,43.00%,50 ml,NA,NA,116 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1975,1993,43.00%,50 ml,NA,NA,172 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1976,1994,43.00%,700 ml,NA,NA,1566 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1980,1998,43.00%,50 ml,NA,NA,129 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1981,1999,43.00%,50 ml,NA,NA,192 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1982,2000,43.00%,50 ml,NA,NA,282 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1984,2002,43.00%,700 ml,NA,NA,849 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1989,2007,43.00%,700 ml,NA,NA,635 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1990,2008,43.00%,700 ml,NA,NA,444 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1991,2009,43.00%,700 ml,NA,NA,395 €,Macallan,"Original Bottling, Speyside Single Malt"
NA,NA,NA,48.20%,700 ml,NA,NA,2625 €,Macallan 1824 Collection (MMXI),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,1000 ml,NA,NA,65 €,Macallan Select Oak,"Original Bottling, Speyside Single Malt"
32,1938,1970,43.00%,750 ml,NA,NA,3623 €,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
33,1939,1972,43.00%,750 ml,NA,NA,2522 €,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
37,1940,1977,43.00%,750 ml,NA,NA,3619 €,Macallan (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
NA,1952,NA,45.71%,750 ml,NA,NA,6136 €,Macallan,"Campbell, Hope & King, Speyside Single Malt"
26,NA,NA,43.00%,50 ml,NA,NA,120 €,Macallan,"Original Bottling, Speyside Single Malt"
26,1967,1993,50.60%,50 ml,10469,NA,279 €,Macallan Fino Cask,"Original Bottling, Speyside Single Malt"
35,1968,2003,53.10%,700 ml,5593,154,1130 €,Macallan Rare Auld,"Duncan Taylor, Speyside Single Malt"
25,1975,2000,43.00%,700 ml,NA,NA,2135 €,Macallan Anniversary Malt,"Original Bottling, Speyside Single Malt"
18,1979,1997,43.00%,50 ml,NA,NA,143 €,Macallan,"Original Bottling, Speyside Single Malt"
20,1987,2007,55.30%,700 ml,NA,293,141 €,Macallan,"Duncan Taylor, Speyside Single Malt"
18,1989,2007,50.60%,700 ml,17889,474,174 €,Macallan Exclusive Malts,"Creative Whisky Company, Speyside Single Malt"
22,1990,2012,53.90%,700 ml,NA,NA,207 €,Macallan Mackillop´s Choice,"Mackillop's Choice, Speyside Single Malt"
16,1990,2006,56.60%,700 ml,NA,NA,565 €,Macallan 24.94,"Scotch Malt Whisky Society, Speyside Single Malt"
10,1991,2001,40.00%,700 ml,NA,250,380 €,Macallan Coronation Day,"The Whisky Connoisseur, Speyside Single Malt"
9,2004,2013,43.00%,700 ml,NA,NA,65 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
9,2005,2014,43.00%,700 ml,NA,NA,60 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
25,NA,NA,43.00%,700 ml,NA,NA,888 €,Macallan Fine Oak (Green Ribbon),"Original Bottling, Speyside Single Malt"
30,NA,NA,43.00%,700 ml,NA,NA,1575 €,Macallan Fine Oak,"Original Bottling, Speyside Single Malt"
NA,NA,NA,58.20%,750 ml,NA,NA,887 €,Macallan Cask Strength (Red Label),"Original Bottling, Speyside Single Malt"
NA,NA,NA,60.10%,750 ml,NA,NA,328 €,Macallan Cask Strength (US Import),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,700 ml,NA,NA,106 €,Macallan Directors Edition,"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,700 ml,NA,NA,488 €,Macallan Distillers Choice (Japanese Import),"Original Bottling, Speyside Single Malt"
NA,NA,NA,45.70%,700 ml,NA,NA,288 €,Macallan Master of Photography (Ernie Button),"Original Bottling, Speyside Single Malt"
NA,NA,NA,40.00%,700 ml,NA,NA,78 €,Macallan Fine Oak (Triple Cask Master´s Edition),"Original Bottling, Speyside Single Malt"
NA,NA,NA,43.00%,700 ml,NA,NA,2612 €,Macallan Lalique No.6,"Original Bottling, Speyside Single Malt"
NA,NA,NA,46.50%,700 ml,NA,NA,1494 €,Macallan Oscure (Lalique Kazak Running Horse),"Original Bottling, Speyside Single Malt"
NA,NA,NA,43.00%,700 ml,NA,NA,85 €,Macallan Sienna,"Original Bottling, Speyside Single Malt"
