0,1,2,3,4,5,6,7,8,9
28,1947,1975,42.86%,750 ml,NA,NA,2207 €,Glenrothes,"Original Bottling, Speyside Single Malt"
37,1976,2013,51.00%,700 ml,NA,1868,2685 €,Lagavulin 2013 Release,"Original Bottling, Islay Single Malt"
31,1966,1997,52.00%,700 ml,489,NA,1822 €,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt"
32,1966,1998,56.90%,700 ml,491,NA,2374 €,Springbank Local Barley,"Original Bottling, Campbeltown Single Malt"
25,1983,2008,58.90%,700 ml,NA,169,1042 €,Yoichi 116.15,"Scotch Malt Whisky Society, Japan Single Malt"
50,NA,2015,41.10%,700 ml,NA,937,2527 €,Glenfarclas Collector Series III,"Original Bottling, Speyside Single Malt"
21,1957,1978,45.71%,750 ml,NA,NA,3211 €,Talisker Sherry Wood,"Cadenhead, Islands Single Malt"
42,1959,2001,46.00%,700 ml,NA,96,1668 €,Glenfarclas Christmas Day,"Original Bottling, Speyside Single Malt"
31,1968,1999,43.00%,700 ml,3817,238,1572 €,Bowmore Millennium Edition,"Signatory Vintage, Islay Single Malt"
32,1968,2000,46.00%,700 ml,1422,236,1617 €,Bowmore,"Signatory Vintage, Islay Single Malt"
45,1938,1983,40.00%,750 ml,NA,NA,2089 €,Glen Grant,"Gordon & MacPhail, Speyside Single Malt"
40,1949,1989,37.90%,750 ml,852,280,2088 €,Macallan,"Signatory Vintage, Speyside Single Malt"
17,1964,1981,43.00%,750 ml,NA,NA,2099 €,Macallan,"Original Bottling, Speyside Single Malt"
25,NA,NA,43.00%,700 ml,NA,NA,3224 €,Yamazaki,"Original Bottling, Japan Single Malt"
25,1968,1993,43.00%,750 ml,NA,482,1352 €,Glendronach Sherry Casks,"Original Bottling, Highlands Single Malt"
30,1981,2011,58.30%,700 ml,6207,NA,1757 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
37,NA,1997,43.00%,700 ml,NA,200,1345 €,Glen Garioch Bicentenary (200th Anniversary),"Original Bottling, Highlands Single Malt"
18,1971,1989,43.00%,750 ml,NA,NA,1630 €,Macallan,"Original Bottling, Speyside Single Malt"
37,1940,1977,40.00%,750 ml,NA,NA,3131 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
18,1979,1997,40.00%,700 ml,NA,NA,1764 €,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt"
18,NA,2017,48.00%,700 ml,NA,NA,2568 €,Yamazaki Mizunara Cask 2017,"Original Bottling, Japan Single Malt"
35,1936,1971,43.00%,750 ml,NA,NA,2855 €,Mortlach Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
40,NA,NA,43.00%,700 ml,NA,NA,2304 €,Glenfarclas Scottish Classic,"Original Bottling, Speyside Single Malt"
55,1943,1998,40.00%,700 ml,120,NA,2492 €,Glenlivet Private Collection,"Gordon & MacPhail, Speyside Single Malt"
18,1972,1990,43.00%,750 ml,NA,NA,1667 €,Macallan,"Original Bottling, Speyside Single Malt"
46,1936,1982,40.00%,750 ml,NA,NA,2430 €,Mortlach,"Gordon & MacPhail, Speyside Single Malt"
26,1990,2016,60.60%,700 ml,7402,486,2074 €,Karuizawa Geisha Label,"Original Bottling, Japan Single Malt"
30,1986,2016,53.00%,700 ml,NA,NA,2368 €,Shinshu Mars Komagatake,"Original Bottling, Japan Single Malt"
58,1948,2006,40.00%,700 ml,NA,NA,2337 €,Glen Grant,"Gordon & MacPhail, Speyside Single Malt"
21,1963,1984,43.00%,750 ml,NA,NA,1537 €,Glenlivet Chairman Reserve,"Original Bottling, Speyside Single Malt"
