,Year,Precipitation,Temperature,country,Max Temperature_x,Min Temperature_x,Max Temperature_y,Min Temperature_y
157,1989,3.0486713906111764,17.451911715166748,Ireland,13.9027027027027,7.098418024928093,,
158,1990,3.349608013937299,17.69955297191057,Ireland,14.074492497793493,7.250120948234159,,
159,1991,3.059424778761075,16.98809430408393,Ireland,13.497830898627686,6.980526810912499,,
160,1992,3.2873748367436004,16.815142825362877,Ireland,13.423503713412002,6.783278223901753,,
161,1993,3.539811133200806,17.034873484581727,Ireland,13.53533980582525,6.999067357512952,,
162,1994,3.7558873720136696,17.01888782245728,Ireland,13.459932942162613,7.117909760589333,,
163,1995,3.4097826086956693,18.219760241810995,Ireland,14.469576164498514,7.500368154624961,,
164,1996,3.4284662045060785,16.59202343364166,Ireland,13.24047322540473,6.703100416473862,,
165,1997,3.317236899090525,18.273061428779755,Ireland,14.35211672831892,7.841889400921673,,
166,1998,3.7939013840830587,17.951424515176704,Ireland,14.103650860260188,7.695547309833032,,
167,1999,3.6160670482420554,17.81554613794712,Ireland,14.020496632996625,7.590099009900991,,
168,2000,3.8014573510501712,17.312928169576956,Ireland,13.735731907894714,7.154392523364488,,
169,2001,3.0878260869565466,17.26043755777354,Ireland,13.80628078817734,6.9083135391924015,,
170,2002,4.118075422626801,17.594852103719802,Ireland,13.956318449873647,7.277067307692307,,
171,2003,2.7812852800694925,18.05150086323711,Ireland,14.327891156462591,7.447219413549028,,
172,2004,3.0966086956521948,17.801066785804686,Ireland,14.022067767158957,7.557998037291447,,
173,2005,3.3827009936766266,17.971530401876024,Ireland,14.079249352890375,7.7845620979712935,,
174,2006,4.076831683168342,18.202291469867816,Ireland,14.318932256617297,7.766718426501041,,
175,2007,3.5626494023904614,18.615541565750505,Ireland,14.629417163836635,7.972248803827733,,
176,2008,4.30325982742092,17.597772724876748,Ireland,13.940831074977355,7.3138832997987775,,
177,2009,4.593441064638805,17.414084053738872,Ireland,13.721578029642492,7.3850120481927615,,
178,2010,3.3238000000000083,15.340593016792992,Ireland,12.634329199549072,5.412527634487837,,
179,2011,4.0574746008708455,17.573954976754788,Ireland,13.886779184247578,7.374351585014421,,
180,2012,3.722185209860116,17.200616422947178,Ireland,13.54628571428576,7.308661417322838,,
181,2013,3.2068083261058287,17.23344401400415,Ireland,13.605642633228795,7.255602761550707,,
182,2014,3.667724196277508,18.091872906493712,Ireland,14.256311548791366,7.671122715404695,,
183,2015,4.016317432010712,17.29187316328373,Ireland,13.779616895874266,7.024512534818935,,
184,2016,3.132949876746118,17.78922242338031,Ireland,14.083906633906635,7.410631578947354,,
185,2017,3.141148325358873,18.073065351874725,Ireland,14.251560549313359,7.643009605122737,,
186,2018,3.277972972972992,17.365713560864965,Ireland,13.744100294985259,7.243226531759409,,
187,1973,2.141950207468896,14.013066348271868,Scotland,,,11.784318766066836,4.457495164410057
188,1974,2.3416938110749443,14.054673005489633,Scotland,,,11.714396551724146,4.6805529075309815
189,1975,2.0664646464646643,14.542543998910404,Scotland,,,12.185248713550598,4.7145905707196025
190,1976,2.1732724384432256,14.501037920889177,Scotland,,,11.941979949874685,5.118115942028986
191,1977,2.4811183144246565,13.490555041137837,Scotland,,,11.258641188959665,4.463827704356338
192,1978,2.462170790103774,13.541765044858787,Scotland,,,11.201489995742874,4.6805500982318256
193,1979,2.6527032438926983,12.719560808547714,Scotland,,,10.67550235143224,4.0881169142309535
194,1980,2.6509119746233423,13.813051614560447,Scotland,,,11.37663391712943,4.8728353948620375
195,1981,2.577374301676003,13.575082441459406,Scotland,,,11.439508832399829,4.271147218119154
196,1982,3.212493651599816,14.421311714121478,Scotland,,,12.042975635044048,4.75667215815486
197,1983,2.5845584607795,14.750514929706357,Scotland,,,12.311024844720519,4.878980169971671
198,1984,3.0898433552299305,14.6123176636799,Scotland,,,12.174690181124886,4.8752549651100345
199,1985,3.3596845736816383,13.256264274751642,Scotland,,,11.091372912801457,4.329782723900369
200,1986,3.019050000000024,13.127477389763186,Scotland,,,11.07586533902323,4.103224101479913
201,1987,2.8253145445395265,13.447738069297746,Scotland,,,11.210599721059976,4.474276696475535
