vintage,age,ABV,score,price,country,style,precip,temp
2005,10.0,54.20%,86,130,UK,Single Malt Scotch,2.663588621444224,14.732142945041973
1990,16.0,46.00%,86,125,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1994,13.0,58.50%,86,95,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
2013,30.0,40.10%,86,384,UK,Single Malt Scotch,2.387790468688487,14.829121241097331
1982,25.0,43.00%,86,280,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
2000,9.0,46.00%,86,55,UK,Single Malt Scotch,4.034401972873037,14.779256525078607
2014,38.0,59.80%,86,1250,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
2008,10.0,46.00%,86,59,UK,Single Malt Scotch,2.7585433070866405,13.284823320768414
1990,26.0,51.90%,86,80,UK,Single Grain Whisky,3.187437686939205,15.03387889454144
2007,10.0,58.40%,86,100,UK,Single Malt Scotch,2.5903595416831613,14.863119679090655
1994,12.0,59.50%,86,54,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
1990,25.0,60.60%,86,119,UK,Single Grain Whisky,3.187437686939205,15.03387889454144
1982,21.0,59.00%,85,180,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
1987,16.0,46.00%,85,74,UK,Single Malt Scotch,2.8253145445395265,13.447738069297746
1982,24.0,43.00%,85,250,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
1997,12.0,46.00%,85,88,UK,Single Malt Scotch,2.910800842992624,15.52876067924086
1993,10.0,43.00%,85,56,UK,Single Malt Scotch,2.9940524193548455,13.475823617784245
1990,14.0,56.20%,85,50,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1991,13.0,46.00%,85,70,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1998,10.0,46.00%,85,70,UK,Single Malt Scotch,3.3203372508942413,14.7847224026167
1980,31.0,52.10%,85,6400,UK,Single Malt Scotch,2.6509119746233423,13.813051614560447
2006,9.0,46.00%,85,65,UK,Single Malt Scotch,2.5359368836292253,15.203224853982793
1974,31.0,43.00%,85,120,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
1981,27.0,53.40%,85,200,UK,Single Malt Scotch,2.577374301676003,13.575082441459406
1984,20.0,43.00%,85,83,UK,Single Malt Scotch,3.0898433552299305,14.6123176636799
1989,17.0,46.00%,85,85,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
2011,12.0,57.50%,85,103,UK,Single Malt Scotch,2.8120253164557205,15.395981179754214
2012,12.0,56.10%,85,111,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
2015,12.0,56.80%,85,135,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
1993,13.0,53.20%,85,60,UK,Single Malt Scotch,2.9940524193548455,13.475823617784245
1973,29.0,47.60%,85,160,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
1989,13.0,46.00%,85,45,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1989,21.0,46.00%,85,80,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1991,12.0,43.00%,85,53,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1991,16.0,54.20%,85,160,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
2003,11.0,56.40%,85,110,UK,Single Malt Scotch,2.2150142993327044,14.322894131362364
2015,25.0,49.90%,85,400,UK,Single Malt Scotch,2.9942599425994536,14.880465527800643
1994,12.0,59.50%,84,54,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
2014,21.0,56.90%,84,400,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
1989,13.0,57.10%,84,90,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1985,26.0,56.70%,84,100,UK,Single Malt Scotch,3.3596845736816383,13.256264274751642
1988,15.0,46.00%,84,50,UK,Single Malt Scotch,3.1280500000000204,14.568356770439793
1977,26.0,53.50%,84,145,UK,Single Malt Scotch,2.4811183144246565,13.490555041137837
1990,21.0,43.00%,84,130,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1984,20.0,43.50%,84,180,UK,Single Malt Scotch,3.0898433552299305,14.6123176636799
1986,19.0,53.80%,84,120,UK,Single Malt Scotch,3.019050000000024,13.127477389763186
1994,12.0,46.00%,84,65,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
