vintage,avp,size,price,name,precip,temp,max_t,min_t
1976,51.00,700,2980.3500000000013,Lagavulin 2013 Release,2.1732724384432256,14.501037920889175,11.941979949874685,5.118115942028986
1979,40.00,700,1958.04,Macallan Gran Reserva,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1973,45.00,700,1677.21,Dalmore Cabernet Sauvignon (Haut Marbuzet Finish),2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1976,45.30,700,1103.34,Macallan Single Cask,2.1732724384432256,14.501037920889175,11.941979949874685,5.118115942028986
1991,52.70,700,2849.3700000000013,Lagavulin 200th Anniversary,2.6779240506329285,14.448130516657713,11.968186226964116,4.959888579387185
1974,43.00,700,1509.6,Macallan,2.3416938110749443,14.054673005489633,11.714396551724146,4.6805529075309815
1974,40.80,700,1555.11,Ladyburn 2014 Release,2.3416938110749443,14.054673005489633,11.714396551724146,4.6805529075309815
1978,49.20,700,1931.4,Glenfiddich Private Vintage (Virgin Atlantic),2.462170790103774,13.541765044858787,11.201489995742874,4.6805500982318256
1976,43.00,750,1823.73,Macallan,2.1732724384432256,14.501037920889175,11.941979949874685,5.118115942028986
1980,43.00,700,1168.8300000000004,Macallan,2.6509119746233423,13.813051614560447,11.37663391712943,4.8728353948620375
1979,57.70,700,1098.9,Port Ellen 9th Annual Release,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1978,59.35,700,1108.89,Port Ellen 2nd Annual Release,2.462170790103774,13.541765044858787,11.201489995742874,4.6805500982318256
1978,56.20,700,1302.0300000000002,Port Ellen 4th Annual Release,2.462170790103774,13.541765044858787,11.201489995742874,4.6805500982318256
1978,54.60,700,1243.2,Port Ellen 10th Annual Release,2.462170790103774,13.541765044858787,11.201489995742874,4.6805500982318256
1985,56.50,700,1254.3000000000004,Lagavulin 2007 Release,3.3596845736816383,13.256264274751642,11.091372912801457,4.329782723900369
1985,43.00,700,819.1800000000003,Macallan,3.3596845736816383,13.256264274751642,11.091372912801457,4.329782723900369
1977,63.10,700,1729.38,Rosebank 25.5,2.4811183144246565,13.490555041137837,11.258641188959663,4.463827704356338
1979,57.30,700,1035.63,Port Ellen 3rd Annual Release,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1979,52.50,700,1596.18,Port Ellen 12th Annual Release,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1976,43.40,700,1419.69,Laphroaig,2.1732724384432256,14.501037920889175,11.941979949874685,5.118115942028986
1973,50.60,700,1434.12,Highland Park,2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1979,61.00,750,1699.41,North Port Rare Malts,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1978,54.20,700,1100.01,Port Ellen 6th Annual Release,2.462170790103774,13.541765044858787,11.201489995742874,4.6805500982318256
1973,43.00,700,1232.1,Macallan Speymalt,2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1990,46.00,700,410.70000000000016,Macallan 30th Anniversary,3.187437686939205,15.03387889454144,12.436621751684307,5.194514285714278
1979,53.90,700,1300.92,Port Ellen 11th Annual Release,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
1980,52.60,700,1314.24,Bowmore Queen´s Visit,2.6509119746233423,13.813051614560447,11.37663391712943,4.8728353948620375
1973,40.00,700,647.1300000000001,Macallan Speymalt,2.141950207468896,14.013066348271868,11.784318766066836,4.457495164410057
1992,61.40,700,1056.72,Glenfiddich 130th Anniversary,3.2134751773049848,14.319503827626386,11.95203730976925,4.73493303571428
1981,61.40,700,927.96,Rosebank 2007 Release,2.577374301676003,13.575082441459406,11.439508832399829,4.271147218119154
1981,62.00,700,1178.8200000000004,Talisker Special Releases (2002 Release),2.577374301676003,13.575082441459406,11.439508832399829,4.271147218119154
1988,43.00,700,849.1500000000003,Macallan,3.1280500000000204,14.568356770439793,11.996206581352816,5.14430037817396
1988,40.00,700,1134.42,Macallan,3.1280500000000204,14.568356770439793,11.996206581352816,5.14430037817396
1977,52.10,700,1004.55,Highland Park Scottish Field Merchant´s,2.4811183144246565,13.490555041137837,11.258641188959663,4.463827704356338
1979,53.80,700,1086.69,Port Ellen 7th Annual Release,2.6527032438926983,12.719560808547714,10.67550235143224,4.0881169142309535
