Index,Maker,Year Distrilled,age in cast,ABV,Single Malt Scotch,Flavored Whiskey and Liqueurs,Bourbon, Blended Malt Scotch Whisky ,Blended Scotch Whisky,Blended Whiskey (Multi-country), Single Malt Whisky (Multi-country), Single Grain Whisky (Multi-country),Japan, Canada,Irish,Generic Whisky (Multi-country),Rye Whisky,White Whisky,Craft Whisky,SUM,Review Score (Points), price ,Original Style,country
2744,Tullamore D.E.W.,,,40.00%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,78,$61 ,Irish Blended Whisky,IE
2745,Seagram,,,40.00%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,78,$11 ,American Blended Whisky,US
2746,That Boutique-y Whisky Company,,,43.10%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,78,$144 ,Blended Malt Scotch Whisky,UK
2747,"Ron Burgundy ""Great Odin's Raven"" Special Reserve",,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,78,$25 ,Blended Scotch Whisky,UK
2748,Highland Queen,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,78,$20 ,Blended Scotch Whisky,UK
2749,Hell-Cat Maggie,,,40.00%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,78,$20 ,Irish Blended Whisky,IE
2750,MacNaMara,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,78,$37 ,Blended Scotch Whisky,UK
2751,Master of Malt,,,47.50%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,77,$62 ,Blended Malt Scotch Whisky,UK
2752,Black Eagle,,,35.00%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,77,$12 ,American Blended Whisky,US
2753,The One,,,40.00%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,77,$50 ,English Blended Whisky,UK
2754,Grand Macnish,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,77,$18 ,Blended Scotch Whisky,UK
2755,The Lost Distillery Company,,,46.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,77,$65 ,Blended Scotch Whisky,UK
2756,Wild Weasel,,,40.00%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,77,$44 ,Blended Belgian Whisky,BE
2757,Clansman,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,77,$14 ,Blended Scotch Whisky,UK
2758,MacNaMara,,,40.00%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,76,$35 ,Blended Scotch Whisky,UK
2759,Sunshine Reserve,,,42.50%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,76,$50 ,American Blended Whisky,US
2760,Woodford Reserve,,,45.20%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60,$50 ,American Blended Whisky,US
2772,Teeling,,,46.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,91,$45 ,Single Grain Irish Whisky,IE
2773,Hyde,,,46.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,91,$48 ,Single Grain Irish Whisky,IE
2787,Kilbeggan,,,43.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,88,$30 ,Single Grain Irish Whisky,IE
2797,Hyde,,6 years old,46.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,88,$50 ,Single Grain Irish Whisky,IE
2815,Egan,,,46.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,86,$45 ,Single Grain Irish Whisky,IE
2820,Greenore,,15 years old,40.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,84,$100 ,Single Grain Irish Whisky,IE
2837,Greenore,,18 years old,46.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,82,$125 ,Single Grain Irish Whisky,IE
2842,Clan Denny,,20 years old,56.70%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,81,$134 ,Grain Scotch Whisky,UK
2843,"Darkness! (distilled at Invergordon) 23 year old, 50.8%",,23 years old,50.80%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,81,$117 ,Grain Scotch Whisky,UK
2844,Douglas Laing,,21 years old,50.90%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,81,$109 ,Single Grain Whisky,UK
2845,Clan Denny,,21 years old,51.80%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,80,$117 ,Single Grain Whisky,UK
2846,The Sovereign,1990,25 years old,51.90%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,80,$119 ,Single Grain Whisky,UK 
2847,The Sovereign,,50 years old,42.90%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,80,$300 ,Single Grain Whisky,UK
2848,Borders,,,51.70%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,80,$72 ,Single Grain Whisky,UK
2849,Clan Denny,,21 years old,59.60%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,79,$108 ,Single Grain Whisky,UK
2850,That Boutique-y Whisky Company,,,49.30%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,78,$95 ,Grain Scotch Whisky,UK
2851,Douglas Laing,2005,10 years old,50.90%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,78,$57 ,Single Grain Whisky,UK
2852,Girvan,,,42.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,78,$76 ,Single Grain Whisky,UK
2853,H5,,,40.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,77,$22 ,Single Grain Whisky,UK
2854,Douglas Laing,1990,25 years old,51.50%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,77,$129 ,Single Grain Whisky,UK
2855,Lambertus,,10 years old,40.00%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75,$57 ,Single Grain Belgian Whisky,BE
2856,Duncan Taylor,,28 years old,54.40%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,72,$125 ,Grain Scotch Whisky,UK
3001,Armorik,,,46.00%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,93,$60 ,French Whisky,FR
3013,High Coast,,,48.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,93,$59 ,Single Malt Swedish Whisky,SE
3119,Spirit of Hven,,,53.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,92,$110 ,Single Malt Swedish Whisky,SE
3124,Box,,,51.30%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,92,$92 ,Single Malt Swedish Whisky,SE
3212,Mackmyra,,,51.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,$183 ,Single Malt Swedish Whisky,SE
3213,Mackmyra,,,45.50%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,$157 ,Single Malt Swedish Whisky,SE
3225,St. George,2011,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,$104 ,Single Malt English Whisky,UK
3234,Westland,2019,,50.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,$100 ,Single Malt American Whisky,US
3236,Box,2014,,53.50%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,$101 ,Single Malt Swedish Whisky,SE
3244,Cotswolds,2014,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,$55 ,Single Malt English Whisky,UK
3249,The MacTarnahan,,15 years old,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$46 ,Unspecified Single Malt,UK
3390,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$55 ,Single Malt Swedish Whisky,SE
3391,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$90 ,Single Malt Swedish Whisky,SE
3399,St. George,,,49.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$109 ,Single Malt English Whisky,UK
3400,Kornog,2016,,50.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$101 ,Single Malt French Whisky,FR
3429,Westland,,,50.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$110 ,Single Malt American Whisky,US
3431,Box,,,51.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$81 ,Single Malt Swedish Whisky,SE
3432,Box,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$53 ,Single Malt Swedish Whisky,SE
3435,Teerenpeli,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$125 ,Single Malt Finnish Whisky,FI
3448,Old Line,,,60.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,$70 ,Single Malt American Whisky,US
3599,Mackmyra,,,52.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89,$183 ,Single Malt Swedish Whisky,SE
3600,Mackmyra,,,47.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89,$145 ,Single Malt Swedish Whisky,SE
3606,Gouden Carolus,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89,$65 ,Single Malt Belgian Whisky,BE
3618,Armorik,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89,$90 ,Single Malt French Whisky,FR
3639,The English,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89,$75 ,Single Malt English Whisky,UK
3804,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$55 ,Single Malt Swedish Whisky,SE
3805,Mackmyra,,,53.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$180 ,Single Malt Swedish Whisky,SE
3806,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$90 ,Single Malt Swedish Whisky,SE
3807,Mackmyra,,,52.60%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$162 ,Single Malt Swedish Whisky,SE
3828,Armorik,,10 years old,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$80 ,Single Malt French Whisky,FR
3844,Adelphi,,22 years old,55.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$240 ,Single Malt English Whisky,UK
3854,The English Whisky Co.,,,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$76 ,Single Malt English Whisky,UK
3855,The English,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$75 ,Single Malt English Whisky,UK
3856,Box,,,48.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$95 ,Single Malt Swedish Whisky,SE
